,name,addr,city,phone,type,cuisine_type
0,arnie morton's of chicago, 435 s. la cienega blv . ,los angeles,3102461501,american,amurican
1,art's delicatessen, 12224 ventura blvd. ,studio city,8187621221,american,american
2,campanile, 624 s. la brea ave. ,los angeles,2139381447,american,ameerican
3,fenix, 8358 sunset blvd. west ,hollywood,2138486677,american,aamerican
4,grill on the alley, 9560 dayton way ,los angeles,3102760615,american,ameriican
5,restaurant katsu, 1972 n. hillhurst ave. ,los angeles,2136651891,asian,amerrican
6,locanda veneta, 3rd st. ,los angeles,3102741893,italian,ameerrican
7,matsuhisa, 129 n. la cienega blvd. ,beverly hills,3106599639,asian,ammereican
8,the palm, 9001 santa monica blvd. ,los angeles,3105508811,american,americann
9,philippe's the original, 1001 n. alameda st. ,los angeles,2136283781,american,americano
10,rex il ristorante, 617 s. olive st. ,los angeles,2136272300,italian,ammericann
11,valentino, 3115 pico blvd. ,santa monica,3108294313,italian,americin
12,yujean kang's gourmet chinese cuisine,67 n. raymond ave. ,los angeles,8185850855,asian,amerycan
13,21 club,21 w. 52nd st. ,new york,2125827200,american,america
14,aureole,34 e. 61st st. ,new york,2123191660,american,merican
15,cafe lalo, 201 w. 83rd st. ,new york,2124966031,coffeebar,asian
16,carmine's, 2450 broadway between 90th and 91st sts . ,new york,2123622200,italian,asiane
17,chanterelle, 2 harrison st. near hudson st. ,new york,2129666960,american,asiann
18,dawat, 210 e. 58th st. ,new york,2123557555,asian,asiian
19,felidia, 243 e. 58th st. ,new york,2127581479,italian,asiaan
20,four seasons grill room,99 e. 52nd st. ,new york,2127549494,american,asianne
21,gotham bar & grill,12 e. 12th st. ,new york,2126204020,american,asiat
22,gramercy tavern,42 e. 20th st. between park ave. s and broadway ,new york,2124770777,american,italiann
23,jo jo, 160 e. 64th st. ,new york,2122235656,american,italiano
24,lespinasse, 2 e. 55th st. ,new york,2123396719,american,italianne
25,march, 405 e. 58th st. ,new york,2127546272,american,italiaan
26,mesa grill, 102 5th ave. between 15th and 16th sts . ,new york,2128077400,american,italiian
27,mi cocina,57 jane st. off hudson st. ,new york,2126278273,mexican,itallian
28,park avenue cafe, 100 e. 63rd st. ,new york,2126441900,american,italian
29,river cafe, 1 water st. at the east river ,brooklyn,7185225200,american,amurican
30,san domenico, 240 central park s ,new york,2122655959,italian,american
31,seryna,11 e. 53rd st. ,new york,2129809393,asian,ameerican
32,shun lee west,43 w. 65th st. ,new york,2123718844,asian,aamerican
33,sign of the dove, 1110 3rd ave. at 65th st. ,new york,2128618080,american,ameriican
34,smith & wollensky, 201 e. 49th st. ,new york,2127531530,american,amerrican
35,tavern on the green, in central park at 67th st. ,new york,2128733200,american,ameerrican
36,union square cafe,21 e. 16th st. ,new york,2122434020,american,ammereican
37,virgil's, 152 w. 44th st. ,new york,2129219494,american,americann
38,chin's, 3200 las vegas blvd. s ,las vegas,7027338899,asian,americano
39,coyote cafe, 3799 las vegas blvd. s ,las vegas,7028917349,southwestern,ammericann
40,steak house, 2880 las vegas blvd. s ,las vegas,7027340410,steakhouses,americin
41,abruzzi, 2355 peachtree rd. . peachtree battle shopping center ,atlanta,4042618186,italian,amerycan
42,bone's, 3130 piedmont road ,atlanta,4042372663,american,america
43,buckhead diner, 3073 piedmont road ,atlanta,4042623336,american,merican
44,delectables, 1 margaret mitchell sq. ,atlanta,4046812909,american,asian
45,georgia grille, 2290 peachtree rd. . peachtree square shopping center ,atlanta,4043523517,american,asiane
46,heera of india, 595 piedmont ave. rio shopping mall ,atlanta,4048764408,asian,asiann
47,la grotta, 2637 peachtree rd. . peachtree house condominium ,atlanta,4042311368,italian,asiian
48,mary mac's tea room, 224 ponce de leon ave. ,atlanta,4048761800,southern,asiaan
49,veni vidi vici,41 14th st. ,atlanta,4048758424,italian,asianne
50,boulevard, 1 mission st. ,san francisco,4155436084,american,asiat
51,campton place, 340 stockton st. ,san francisco,4159555555,american,italiann
52,hawthorne lane,22 hawthorne st. ,san francisco,4157779779,american,italiano
53,khan toke thai house, 5937 geary blvd. ,san francisco,4156686654,asian,italianne
54,mifune japan center kintetsu building, 1737 post st. ,san francisco,4159220337,asian,italiaan
55,postrio, 545 post st. ,san francisco,4157767825,american,italiian
56,ritz-carlton restaurant and dining room, 600 stockton st. ,san francisco,4152967465,american,itallian
57,rose pistola, 532 columbus ave. ,san francisco,4153990499,italian,italian
58,il nido, 251 e. 53rd st. ,new york,2127538450,italian,amurican
59,remi, 145 w. 53rd st. ,new york,2125814242,italian,american
60,adriano's ristorante, 2930 beverly glen circle ,los angeles,3104759807,italian,ameerican
61,barney greengrass, 9570 wilshire blvd. ,beverly hills,3107775877,american,aamerican
62,border grill, 4th st. ,los angeles,3104511655,mexican,ameriican
63,broadway deli, 3rd st. promenade ,santa monica,3104510616,american,amerrican
64,ca   brea, 346 s. la brea ave. ,los angeles,2139382863,italian,ameerrican
65,ca   del sol, 4100 cahuenga blvd. ,los angeles,8189854669,italian,ammereican
66,canter's, 419 n. fairfax ave. ,los angeles,2136512030,american,americann
67,chan dara, 310 n. larchmont blvd. ,los angeles,2134671052,asian,americano
68,drago, 2628 wilshire blvd. ,santa monica,3108281585,italian,ammericann
69,ed debevic's, 134 n. la cienega ,los angeles,3106591952,american,americin
70,el cholo, 1121 s. western ave. ,los angeles,2137342773,mexican,amerycan
71,gilliland's, 2424 main st. ,santa monica,3103923901,american,america
72,gladstone's, 4 fish 17300 pacific coast hwy . at sunset blvd. ,pacific palisades,3104543474,american,merican
73,hard rock cafe, 8600 beverly blvd. ,los angeles,3102767605,american,asian
74,harry's bar & american grill, 2020 ave. of the stars ,los angeles,3102772333,italian,asiane
75,il fornaio cucina italiana, 301 n. beverly dr. ,los angeles,3105508330,italian,asiann
76,joss, 9255 sunset blvd. ,los angeles,3102761886,asian,asiian
77,le colonial, 8783 beverly blvd. ,los angeles,3102890660,asian,asiaan
78,louise's trattoria, 4500 los feliz blvd. ,los angeles,2136670777,italian,asianne
79,mon kee seafood restaurant, 679 n. spring st. ,los angeles,2136286717,asian,asiat
80,morton's, 8764 melrose ave. ,los angeles,3102765205,american,italiann
81,nate   n   al's, 414 n. beverly dr. ,los angeles,3102740101,american,italiano
82,nicola, 601 s. figueroa st. ,los angeles,2134850927,american,italianne
83,ocean avenue, 1401 ocean ave. ,santa monica,3103945669,american,italiaan
84,orleans, 11705 national blvd. ,los angeles,3104794187,cajun,italiian
